buildingID,buildingName,country,locationID,locationName,postalCode,street,longitude,latitude,geoLink,portalLink
CAI04,CFC (Cairo Festival City),EGYPT,CAI,Cairo,11835,"Apt 603, Block 47",31.43247,30.00127,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=30.001270, 31.432470&z=16&iwloc=A",
CAI05,CFC (Cairo Festival City) Parcel No. 14b02,EGYPT,CAI,Cairo,11865,"90 Street, Sector 1, 5th Settlement",31.43247,30.00127,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=30.001270, 31.432470&z=16&iwloc=A",
TLL01,Tallinn Metro Plaza,ESTONIA,TLL,Tallinn,10111,Viru Väljak 2,24.754006,59.437509,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=59.437509, 24.754006&z=16&iwloc=A",https://portal.wdf.sap.corp/irj/portal?NavigationTarget=navurl://4a25ea87731d31d5d1f109c69a999077
HEL01,KS5,FINLAND,HEL,Helsinki,2150,Keilasatama 5,24.830033,60.172808,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=60.172808, 24.830033&z=16&iwloc=A",https://portal.wdf.sap.corp/irj/portal?NavigationTarget=navurl://082db22a8895f671e1110f2e965b4da5
CFR01,"8, rue Commodore JH Hallet",FRANCE,CFR,Caen,14000,"8, rue Commodore JH Hallet",-0.391188,49.201153,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=49.201153, -0.391188&z=16&iwloc=A",https://portal.wdf.sap.corp/irj/portal?NavigationTarget=navurl://3a5ab91634d5a63631e6e1e3822ef346
LYS01,62 Quai Charles de Gaulle,FRANCE,LYS,Lyon,69463,62 Quai Charles de Gaulle,4.854176,45.785647,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=45.785647 4.854176&z=16&iwloc=A,https://portal.wdf.sap.corp/irj/portal?NavigationTarget=navurl://7d3ad9a45b19677865ffc42a20d4fbbc
MRS20,Wellio,FRANCE,MRS,Marseille,13002,"Calypso, 48 quai du laza",5.3678146,43.3110028,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=43.3110028 5.3678146&z=16&iwloc=A,
NCE01,SAP Labs France S.A.S.,FRANCE,NCE,Mougins,6254,"805, avenue Maurice Donat - BP 1216",7.016997,43.61208,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=43.612080, 7.016997&z=16&iwloc=A",https://portal.wdf.sap.corp/irj/portal?NavigationTarget=navurl://fe69ef16f0ae2fafb6e7352afd028bab
PAR08,Tour SAP,FRANCE,PAR,Paris,92309,"35, rue d' Alsace",2.297291,48.892864,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=48.892864, 2.297291&z=16&iwloc=A",https://go.sap.corp/nxu
PAR09,5 rue Guy Moquet (Contextor),FRANCE,PAR,Paris,91400,5 rue Guy Moquet,2.191027,48.705874,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=48.705874, 2.191027&z=16&iwloc=A",
PAR35,Office Building,FRANCE,PAR,Paris,75009,3 Rue Moncey,2.330888,48.879983,"https://www.google.de/maps/place/48%C2%B052'47.9%22N+2%C2%B019'51.2%22E/@48.8799839,2.3303408,19z",https://go.sap.corp/PAR35
PAR45,"WeWork, 33 Rue la Fayette (Qualtrics)",FRANCE,PAR,Paris,75009,33 Rue la Fayette,1.091246,49.433383,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=49.433383 1.091246&z=16&iwloc=A,
TLS20,Multiburo centre,FRANCE,TLS,Toulouse,31000,59 Allée Jean Jaurès,1.451854,43.608276,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=43.608276 1.451854&z=16&iwloc=A,
ATH01,20 Ellinidonstr.,GREECE,ATH,Athens,17564,20 Ellinidonstr.,23.698589,37.938889,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=37.938889 23.698589&z=16&iwloc=A,https://portal.wdf.sap.corp/irj/portal?NavigationTarget=navurl://0db24ddad4c1cd965e29dd58efeefa75
